[I](2022-09-22  02:16:02 pm)작업중 M코드정지 [d:74][t:01:49:29]
[I](2022-09-22  02:24:42 pm)작업중 정지 [d:81][t:01:58:08]
[I](2022-09-22  02:24:42 pm)    [LNo:0004] 000569/001898
[I](2022-09-22  02:24:42 pm)작업중 M코드정지 [d:81][t:01:58:08]
[I](2022-09-22  02:26:49 pm)작업중 정지 [d:81][t:02:00:15]
[I](2022-09-22  02:26:49 pm)    [LNo:0004] 000572/001898
[I](2022-09-22  02:26:49 pm)작업중 M코드정지 [d:81][t:02:00:16]
[I](2022-09-22  02:35:36 pm)작업중 정지 [d:89][t:02:09:02]
[I](2022-09-22  02:35:36 pm)    [LNo:0004] 000614/001898
[I](2022-09-22  02:35:36 pm)작업중 M코드정지 [d:89][t:02:09:02]
[I](2022-09-22  02:38:12 pm)작업중 정지 [d:89][t:02:11:38]
[I](2022-09-22  02:38:12 pm)    [LNo:0004] 000617/001898
[I](2022-09-22  02:38:12 pm)작업중 M코드정지 [d:89][t:02:11:38]
[I](2022-09-22  02:46:44 pm)작업중 정지 [d:96][t:02:20:10]
[I](2022-09-22  02:46:44 pm)    [LNo:0004] 000659/001898
[I](2022-09-22  02:46:44 pm)작업중 M코드정지 [d:96][t:02:20:10]
[I](2022-09-22  02:49:27 pm)작업중 정지 [d:96][t:02:22:53]
[I](2022-09-22  02:49:27 pm)    [LNo:0004] 000662/001898
[I](2022-09-22  02:49:27 pm)작업중 M코드정지 [d:96][t:02:22:53]
[I](2022-09-22  02:58:00 pm)작업중 정지 [d:103][t:02:31:26]
[I](2022-09-22  02:58:00 pm)    [LNo:0004] 000704/001898
[I](2022-09-22  02:58:00 pm)작업중 M코드정지 [d:103][t:02:31:26]
[I](2022-09-22  02:58:24 pm)작업중 정지 [d:103][t:02:31:51]
[I](2022-09-22  02:58:24 pm)    [LNo:0004] 000707/001898
[I](2022-09-22  02:58:25 pm)작업중 M코드정지 [d:103][t:02:31:51]
[I](2022-09-22  03:07:05 pm)작업중 정지 [d:110][t:02:40:31]
[I](2022-09-22  03:07:05 pm)    [LNo:0004] 000750/001898
[I](2022-09-22  03:07:26 pm)작업 재시작
[I](2022-09-22  03:07:30 pm)작업중 정지 [d:110][t:02:40:56]
[I](2022-09-22  03:07:30 pm)    [LNo:0004] 000752/001898
[I](2022-09-22  03:07:30 pm)작업중 M코드정지 [d:110][t:02:40:56]
[I](2022-09-22  03:15:52 pm)작업중 정지 [d:117][t:02:49:18]
[I](2022-09-22  03:15:52 pm)    [LNo:0004] 000797/001898
[I](2022-09-22  03:15:52 pm)작업중 M코드정지 [d:117][t:02:49:18]
[I](2022-09-22  03:24:27 pm)작업중 정지 [d:123][t:02:57:54]
[I](2022-09-22  03:24:27 pm)    [LNo:0004] 000839/001898
[I](2022-09-22  03:24:28 pm)작업중 M코드정지 [d:123][t:02:57:54]
[I](2022-09-22  03:24:44 pm)작업중 정지 [d:123][t:02:58:10]
[I](2022-09-22  03:24:44 pm)    [LNo:0004] 000842/001898
[I](2022-09-22  03:24:44 pm)작업중 M코드정지 [d:123][t:02:58:10]
[I](2022-09-22  03:33:14 pm)작업중 정지 [d:130][t:03:06:40]
[I](2022-09-22  03:33:14 pm)    [LNo:0004] 000884/001898
[I](2022-09-22  03:33:14 pm)작업중 M코드정지 [d:130][t:03:06:40]
[I](2022-09-22  03:33:44 pm)작업중 정지 [d:130][t:03:07:11]
[I](2022-09-22  03:33:44 pm)    [LNo:0004] 000887/001898
[I](2022-09-22  03:33:45 pm)작업중 M코드정지 [d:130][t:03:07:11]
[I](2022-09-22  03:37:30 pm)작업중 정지 [d:132][t:03:10:56]
[I](2022-09-22  03:37:30 pm)    [LNo:0004] 000917/001898
[A](2022-09-22  03:37:30 pm)[001] 와이어 미동작
[A](2022-09-22  03:40:06 pm)[001] 와이어 미동작
[A](2022-09-22  03:40:06 pm)[001] 와이어 미동작
[I](2022-09-22  03:45:15 pm)작업중 정지 [d:137][t:03:18:41]
[I](2022-09-22  03:45:15 pm)    [LNo:0004] 000929/001898
[I](2022-09-22  03:45:15 pm)작업중 M코드정지 [d:137][t:03:18:41]
[I](2022-09-22  03:45:44 pm)작업중 정지 [d:137][t:03:19:10]
[I](2022-09-22  03:45:44 pm)    [LNo:0004] 000932/001898
[I](2022-09-22  03:45:44 pm)작업중 M코드정지 [d:137][t:03:19:11]
[I](2022-09-22  03:54:20 pm)작업중 정지 [d:144][t:03:27:46]
[I](2022-09-22  03:54:20 pm)    [LNo:0004] 000974/001898
[I](2022-09-22  03:54:20 pm)작업중 M코드정지 [d:144][t:03:27:46]
[I](2022-09-22  03:54:34 pm)작업중 정지 [d:145][t:03:28:00]
[I](2022-09-22  03:54:34 pm)    [LNo:0004] 000977/001898
[I](2022-09-22  03:54:34 pm)작업중 M코드정지 [d:145][t:03:28:00]
[I](2022-09-22  04:03:16 pm)작업중 정지 [d:152][t:03:36:42]
[I](2022-09-22  04:03:16 pm)    [LNo:0004] 001019/001898
[I](2022-09-22  04:03:16 pm)작업중 M코드정지 [d:152][t:03:36:42]
[I](2022-09-22  04:03:34 pm)작업중 정지 [d:153][t:03:37:00]
[I](2022-09-22  04:03:34 pm)    [LNo:0004] 001022/001898
[I](2022-09-22  04:03:34 pm)작업중 M코드정지 [d:153][t:03:37:00]
[I](2022-09-22  04:12:09 pm)작업중 정지 [d:160][t:03:45:35]
[I](2022-09-22  04:12:09 pm)    [LNo:0004] 001064/001898
[I](2022-09-22  04:12:09 pm)작업중 M코드정지 [d:160][t:03:45:35]
[I](2022-09-22  04:13:37 pm)작업중 정지 [d:161][t:03:47:03]
[I](2022-09-22  04:13:37 pm)    [LNo:0004] 001067/001898
[I](2022-09-22  04:13:37 pm)작업중 M코드정지 [d:161][t:03:47:03]
[I](2022-09-22  04:17:22 pm)작업중 정지 [d:-539][t:03:50:48]
[I](2022-09-22  04:17:22 pm)    [LNo:0004] 001093/001898
[I](2022-09-22  04:17:23 pm)작업중 정지 [d:-539][t:03:50:49]
[I](2022-09-22  04:17:23 pm)    [LNo:0004] 001096/001898
[I](2022-09-22  04:18:07 pm)Reset
[I](2022-09-22  04:18:07 pm)Reset
[I](2022-09-22  04:18:17 pm)작업 시작 [Start d:0]
[I](2022-09-22  04:18:17 pm)Nc File: [No.0007-552.NC]
[I](2022-09-22  04:18:17 pm)  * Start Machine Position
[I](2022-09-22  04:18:17 pm)    X:    399.3777
[I](2022-09-22  04:18:17 pm)    Y:   -393.4395
[I](2022-09-22  04:18:17 pm)    U:      0.0000
[I](2022-09-22  04:18:17 pm)    V:      0.0000
[I](2022-09-22  04:18:17 pm)    Z:     17.4776
[I](2022-09-22  04:18:17 pm)  * Angle
[I](2022-09-22  04:18:17 pm)    Ar:      0.3868,Kr:      0.0000
[I](2022-09-22  04:18:17 pm)    Taper_Ar:      0.0000
[I](2022-09-22  04:18:45 pm)작업중 정지 [d:0][t:00:00:28]
[I](2022-09-22  04:18:45 pm)    [LNo:0007] 000010/000867
[I](2022-09-22  04:18:47 pm)작업중 정지 [d:0][t:00:00:30]
[I](2022-09-22  04:18:47 pm)    [LNo:0007] 000015/000867
[I](2022-09-22  04:19:05 pm)작업중 정지 [d:0][t:00:00:48]
[I](2022-09-22  04:19:05 pm)    [LNo:0007] 000585/000867
[I](2022-09-22  04:41:41 pm)작업중 정지 [d:22][t:00:23:24]
[I](2022-09-22  04:41:41 pm)    [LNo:0007] 000602/000867
[I](2022-09-22  04:41:41 pm)작업중 M코드정지 [d:22][t:00:23:24]
[I](2022-09-22  04:41:52 pm)작업중 정지 [d:22][t:00:23:35]
[I](2022-09-22  04:41:52 pm)    [LNo:0007] 000604/000867
[I](2022-09-22  04:41:52 pm)작업중 M코드정지 [d:22][t:00:23:35]
[I](2022-09-22  05:00:13 pm)작업중 정지 [d:39][t:00:41:56]
[I](2022-09-22  05:00:13 pm)    [LNo:0007] 000624/000867
[I](2022-09-22  05:02:04 pm)작업 재시작
[I](2022-09-22  05:06:44 pm)작업중 정지 [d:44][t:00:48:27]
[I](2022-09-22  05:06:44 pm)    [LNo:0007] 000625/000867
[I](2022-09-22  05:06:44 pm)작업중 M코드정지 [d:44][t:00:48:27]
[I](2022-09-22  05:07:04 pm)작업중 정지 [d:44][t:00:48:47]
[I](2022-09-22  05:07:04 pm)    [LNo:0007] 000627/000867
[I](2022-09-22  05:07:04 pm)작업중 M코드정지 [d:44][t:00:48:47]
[I](2022-09-22  05:32:01 pm)작업중 정지 [d:66][t:01:13:44]
